Date,Industry,Metric,Value
2016-01-01,Gross Value Added - Monthly,Index,91.2
2016-02-01,Gross Value Added - Monthly,Index,91.4
2016-03-01,Gross Value Added - Monthly,Index,91.6
2016-04-01,Gross Value Added - Monthly,Index,92.1
2016-05-01,Gross Value Added - Monthly,Index,91.9
2016-06-01,Gross Value Added - Monthly,Index,92.1
2016-07-01,Gross Value Added - Monthly,Index,92.2
2016-08-01,Gross Value Added - Monthly,Index,92.4
2016-09-01,Gross Value Added - Monthly,Index,92.9
2016-10-01,Gross Value Added - Monthly,Index,92.7
2016-11-01,Gross Value Added - Monthly,Index,93.1
2016-12-01,Gross Value Added - Monthly,Index,93.7
2017-01-01,Gross Value Added - Monthly,Index,93.9
2017-02-01,Gross Value Added - Monthly,Index,94.0
2017-03-01,Gross Value Added - Monthly,Index,94.1
2017-04-01,Gross Value Added - Monthly,Index,94.4
2017-05-01,Gross Value Added - Monthly,Index,94.6
2017-06-01,Gross Value Added - Monthly,Index,94.6
2017-07-01,Gross Value Added - Monthly,Index,94.8
2017-08-01,Gross Value Added - Monthly,Index,95.0
2017-09-01,Gross Value Added - Monthly,Index,95.4
2017-10-01,Gross Value Added - Monthly,Index,95.4
2017-11-01,Gross Value Added - Monthly,Index,95.6
2017-12-01,Gross Value Added - Monthly,Index,95.9
2018-01-01,Gross Value Added - Monthly,Index,95.7
2018-02-01,Gross Value Added - Monthly,Index,95.8
2018-03-01,Gross Value Added - Monthly,Index,95.7
2018-04-01,Gross Value Added - Monthly,Index,95.7
2018-05-01,Gross Value Added - Monthly,Index,95.9
2018-06-01,Gross Value Added - Monthly,Index,96.2
2018-07-01,Gross Value Added - Monthly,Index,96.0
2018-08-01,Gross Value Added - Monthly,Index,96.3
2018-09-01,Gross Value Added - Monthly,Index,96.5
2018-10-01,Gross Value Added - Monthly,Index,96.4
2018-11-01,Gross Value Added - Monthly,Index,96.5
2018-12-01,Gross Value Added - Monthly,Index,96.2
2019-01-01,Gross Value Added - Monthly,Index,96.7
2019-02-01,Gross Value Added - Monthly,Index,97.3
2019-03-01,Gross Value Added - Monthly,Index,97.3
2019-04-01,Gross Value Added - Monthly,Index,97.0
2019-05-01,Gross Value Added - Monthly,Index,97.4
2019-06-01,Gross Value Added - Monthly,Index,97.9
2019-07-01,Gross Value Added - Monthly,Index,98.2
2019-08-01,Gross Value Added - Monthly,Index,98.0
2019-09-01,Gross Value Added - Monthly,Index,98.5
2019-10-01,Gross Value Added - Monthly,Index,98.3
2019-11-01,Gross Value Added - Monthly,Index,98.1
2019-12-01,Gross Value Added - Monthly,Index,98.5
2020-01-01,Gross Value Added - Monthly,Index,98.6
2020-02-01,Gross Value Added - Monthly,Index,98.1
2020-03-01,Gross Value Added - Monthly,Index,91.0
2020-04-01,Gross Value Added - Monthly,Index,73.2
2020-05-01,Gross Value Added - Monthly,Index,74.7
2020-06-01,Gross Value Added - Monthly,Index,81.7
2020-07-01,Gross Value Added - Monthly,Index,87.1
2020-08-01,Gross Value Added - Monthly,Index,90.0
2020-09-01,Gross Value Added - Monthly,Index,91.3
2020-10-01,Gross Value Added - Monthly,Index,91.7
2020-11-01,Gross Value Added - Monthly,Index,89.7
2020-12-01,Gross Value Added - Monthly,Index,91.1
2021-01-01,Gross Value Added - Monthly,Index,88.1
2021-02-01,Gross Value Added - Monthly,Index,89.4
2021-03-01,Gross Value Added - Monthly,Index,92.0
2021-04-01,Gross Value Added - Monthly,Index,95.1
2021-05-01,Gross Value Added - Monthly,Index,96.5
2021-06-01,Gross Value Added - Monthly,Index,97.3
2021-07-01,Gross Value Added - Monthly,Index,97.0
2021-08-01,Gross Value Added - Monthly,Index,97.9
2021-09-01,Gross Value Added - Monthly,Index,98.5
2021-10-01,Gross Value Added - Monthly,Index,98.8
2021-11-01,Gross Value Added - Monthly,Index,99.3
2021-12-01,Gross Value Added - Monthly,Index,99.2
2022-01-01,Gross Value Added - Monthly,Index,99.4
2022-02-01,Gross Value Added - Monthly,Index,100.0
2022-03-01,Gross Value Added - Monthly,Index,99.9
2022-04-01,Gross Value Added - Monthly,Index,99.9
2022-05-01,Gross Value Added - Monthly,Index,100.5
2022-06-01,Gross Value Added - Monthly,Index,99.5
2022-07-01,Gross Value Added - Monthly,Index,100.1
2022-08-01,Gross Value Added - Monthly,Index,100.2
2022-09-01,Gross Value Added - Monthly,Index,99.6
2022-10-01,Gross Value Added - Monthly,Index,100.5
2022-11-01,Gross Value Added - Monthly,Index,100.5
