Date,Industry,Metric,Value
01/01/2016,Gross Value Added - Monthly,Index,91.2
01/02/2016,Gross Value Added - Monthly,Index,91.4
01/03/2016,Gross Value Added - Monthly,Index,91.6
01/04/2016,Gross Value Added - Monthly,Index,92.1
01/05/2016,Gross Value Added - Monthly,Index,91.9
01/06/2016,Gross Value Added - Monthly,Index,92.1
01/07/2016,Gross Value Added - Monthly,Index,92.2
01/08/2016,Gross Value Added - Monthly,Index,92.4
01/09/2016,Gross Value Added - Monthly,Index,92.9
01/10/2016,Gross Value Added - Monthly,Index,92.7
01/11/2016,Gross Value Added - Monthly,Index,93.1
01/12/2016,Gross Value Added - Monthly,Index,93.7
01/01/2017,Gross Value Added - Monthly,Index,93.9
01/02/2017,Gross Value Added - Monthly,Index,94
01/03/2017,Gross Value Added - Monthly,Index,94.1
01/04/2017,Gross Value Added - Monthly,Index,94.4
01/05/2017,Gross Value Added - Monthly,Index,94.6
01/06/2017,Gross Value Added - Monthly,Index,94.6
01/07/2017,Gross Value Added - Monthly,Index,94.8
01/08/2017,Gross Value Added - Monthly,Index,95
01/09/2017,Gross Value Added - Monthly,Index,95.4
01/10/2017,Gross Value Added - Monthly,Index,95.4
01/11/2017,Gross Value Added - Monthly,Index,95.6
01/12/2017,Gross Value Added - Monthly,Index,95.9
01/01/2018,Gross Value Added - Monthly,Index,95.7
01/02/2018,Gross Value Added - Monthly,Index,95.8
01/03/2018,Gross Value Added - Monthly,Index,95.7
01/04/2018,Gross Value Added - Monthly,Index,95.7
01/05/2018,Gross Value Added - Monthly,Index,95.9
01/06/2018,Gross Value Added - Monthly,Index,96.2
01/07/2018,Gross Value Added - Monthly,Index,96
01/08/2018,Gross Value Added - Monthly,Index,96.3
01/09/2018,Gross Value Added - Monthly,Index,96.5
01/10/2018,Gross Value Added - Monthly,Index,96.4
01/11/2018,Gross Value Added - Monthly,Index,96.5
01/12/2018,Gross Value Added - Monthly,Index,96.2
01/01/2019,Gross Value Added - Monthly,Index,96.7
01/02/2019,Gross Value Added - Monthly,Index,97.3
01/03/2019,Gross Value Added - Monthly,Index,97.3
01/04/2019,Gross Value Added - Monthly,Index,97
01/05/2019,Gross Value Added - Monthly,Index,97.4
01/06/2019,Gross Value Added - Monthly,Index,97.9
01/07/2019,Gross Value Added - Monthly,Index,98.2
01/08/2019,Gross Value Added - Monthly,Index,98
01/09/2019,Gross Value Added - Monthly,Index,98.5
01/10/2019,Gross Value Added - Monthly,Index,98.3
01/11/2019,Gross Value Added - Monthly,Index,98.1
01/12/2019,Gross Value Added - Monthly,Index,98.5
01/01/2020,Gross Value Added - Monthly,Index,98.6
01/02/2020,Gross Value Added - Monthly,Index,98.1
01/03/2020,Gross Value Added - Monthly,Index,91
01/04/2020,Gross Value Added - Monthly,Index,73.2
01/05/2020,Gross Value Added - Monthly,Index,74.7
01/06/2020,Gross Value Added - Monthly,Index,81.7
01/07/2020,Gross Value Added - Monthly,Index,87.1
01/08/2020,Gross Value Added - Monthly,Index,90
01/09/2020,Gross Value Added - Monthly,Index,91.3
01/10/2020,Gross Value Added - Monthly,Index,91.7
01/11/2020,Gross Value Added - Monthly,Index,89.7
01/12/2020,Gross Value Added - Monthly,Index,91.1
01/01/2021,Gross Value Added - Monthly,Index,88.1
01/02/2021,Gross Value Added - Monthly,Index,89.4
01/03/2021,Gross Value Added - Monthly,Index,92
01/04/2021,Gross Value Added - Monthly,Index,95.1
01/05/2021,Gross Value Added - Monthly,Index,96.5
01/06/2021,Gross Value Added - Monthly,Index,97.3
01/07/2021,Gross Value Added - Monthly,Index,97
01/08/2021,Gross Value Added - Monthly,Index,97.9
01/09/2021,Gross Value Added - Monthly,Index,98.5
01/10/2021,Gross Value Added - Monthly,Index,98.8
01/11/2021,Gross Value Added - Monthly,Index,99.3
01/12/2021,Gross Value Added - Monthly,Index,99.2
01/01/2022,Gross Value Added - Monthly,Index,99.4
01/02/2022,Gross Value Added - Monthly,Index,100
01/03/2022,Gross Value Added - Monthly,Index,99.9
01/04/2022,Gross Value Added - Monthly,Index,99.9
01/05/2022,Gross Value Added - Monthly,Index,100.5
01/06/2022,Gross Value Added - Monthly,Index,99.5
01/07/2022,Gross Value Added - Monthly,Index,100.1
01/08/2022,Gross Value Added - Monthly,Index,100.2
01/09/2022,Gross Value Added - Monthly,Index,99.6
01/10/2022,Gross Value Added - Monthly,Index,100.5
01/11/2022,Gross Value Added - Monthly,Index,100.5
01/12/2022,Gross Value Added - Monthly,Index,100.1
01/01/2023,Gross Value Added - Monthly,Index,100.3
01/02/2023,Gross Value Added - Monthly,Index,100.7
01/03/2023,Gross Value Added - Monthly,Index,100.4
01/04/2023,Gross Value Added - Monthly,Index,100.5
01/05/2023,Gross Value Added - Monthly,Index,100.1
01/06/2023,Gross Value Added - Monthly,Index,100.8
01/07/2023,Gross Value Added - Monthly,Index,100.4
01/08/2023,Gross Value Added - Monthly,Index,100.4
01/09/2023,Gross Value Added - Monthly,Index,100.3
01/10/2023,Gross Value Added - Monthly,Index,99.9
01/11/2023,Gross Value Added - Monthly,Index,100.2
01/12/2023,Gross Value Added - Monthly,Index,100.1
01/01/2024,Gross Value Added - Monthly,Index,100.5
01/02/2024,Gross Value Added - Monthly,Index,100.7
01/03/2024,Gross Value Added - Monthly,Index,101.3
01/04/2024,Gross Value Added - Monthly,Index,101.1
01/05/2024,Gross Value Added - Monthly,Index,101.4
01/06/2024,Gross Value Added - Monthly,Index,101.3
01/07/2024,Gross Value Added - Monthly,Index,101.2
01/08/2024,Gross Value Added - Monthly,Index,101.3
01/09/2024,Gross Value Added - Monthly,Index,101.3
01/10/2024,Gross Value Added - Monthly,Index,101.1
01/11/2024,Gross Value Added - Monthly,Index,101.2
01/12/2024,Gross Value Added - Monthly,Index,101.6
01/01/2016,"Agriculture, Forestry and Fishing",Index,90.6
01/02/2016,"Agriculture, Forestry and Fishing",Index,88
01/03/2016,"Agriculture, Forestry and Fishing",Index,87.3
01/04/2016,"Agriculture, Forestry and Fishing",Index,87.5
01/05/2016,"Agriculture, Forestry and Fishing",Index,88.7
01/06/2016,"Agriculture, Forestry and Fishing",Index,89.5
01/07/2016,"Agriculture, Forestry and Fishing",Index,90
01/08/2016,"Agriculture, Forestry and Fishing",Index,89.9
01/09/2016,"Agriculture, Forestry and Fishing",Index,89.6
01/10/2016,"Agriculture, Forestry and Fishing",Index,89
01/11/2016,"Agriculture, Forestry and Fishing",Index,89.9
01/12/2016,"Agriculture, Forestry and Fishing",Index,91.9
01/01/2017,"Agriculture, Forestry and Fishing",Index,94.3
01/02/2017,"Agriculture, Forestry and Fishing",Index,95.9
01/03/2017,"Agriculture, Forestry and Fishing",Index,96.1
01/04/2017,"Agriculture, Forestry and Fishing",Index,95.5
01/05/2017,"Agriculture, Forestry and Fishing",Index,94.3
01/06/2017,"Agriculture, Forestry and Fishing",Index,93.4
